isbn,title,writer,publisher,avg_score
9780380715435,The Mother Tongue: English and How It Got That Way,Bill Bryson,William Morrow Paperbacks,3.93
9780345538376,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Ballantine Books,4.59
9780618517657,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Houghton Mifflin Harcourt,4.5
9780618346257,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Houghton Mifflin Harcourt,4.36
9780618260584,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Houghton Mifflin Harcourt,4.5
9780618391004,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Houghton Mifflin Harcourt,4.53
9780618510825,The Lord of the Rings: Complete Visual Companion,Jude Fisher,Houghton Mifflin Harcourt,4.5
9780976694007,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Pragmatic Bookshelf,3.84
9780689840920,Hatchet (Brian's Saga  #1),Gary Paulsen,Atheneum Books for Young Readers: Richard Jackson Books,3.72
9781557344496,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,Teacher Created Resources,4.0
9780385326506,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Delacorte Press,3.88
9781575606248,Molly Hatchet - 5 of the Best,Molly Hatchet,Cherry Lane Music Company,4.33
9781595580276,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,The New Press,3.45
9781595962805,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Changeling Press,3.76
9780670059676,Changeling (Changeling  #1),Delia Sherman,Viking Juvenile,3.6
9780141312620,The Changeling Sea,Patricia A. McKillip,Firebird,4.06
9780595321803,The Changeling,Zilpha Keatley Snyder,iUniverse,4.17
9781590301944,The Changeling,Kate Horsley,Shambhala,3.55
9780449146972,The Changeling (Daughters of England  #15),Philippa Carr,Ivy Books,3.98
9780061159176,The Known World,Edward P. Jones,Amistad,3.83
9780060762735,The Known World,Edward P. Jones/Kevin R. Free,HarperAudio,3.83
9780060749910,The Known World,Edward P. Jones,Harper,3.83
9780273704744,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,FT Press,3.83
9781932386103,Artesia: Adventures in the Known World,Mark Smylie,Archaia,4.13
9780374517199,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,Farrar  Straus and Giroux,4.42
9780374280390,Uncommon Carriers,John McPhee,Farrar Straus Giroux,3.95
9780374519742,Heirs of General Practice,John McPhee,Farrar  Straus and Giroux,4.17
9780374522599,The Control of Nature,John McPhee,Farrar  Straus and Giroux,4.24
9780374518738,Annals of the Former World,John McPhee,Farrar  Straus and Giroux,4.34
9780374522872,Coming Into the Country,John McPhee,Farrar  Straus and Giroux,4.22
9780374519322,La Place de la Concorde Suisse,John McPhee,Farrar  Straus and Giroux,3.92
9780374516000,Giving Good Weight,John McPhee,Farrar  Straus and Giroux,4.23
9780374520656,Rising from the Plains,John McPhee,Farrar  Straus and Giroux,4.23
9780822205104,The Heidi Chronicles,Wendy Wasserstein,Dramatists Play Service,3.75
9780679734994,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,Vintage,3.84
9781596670235,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,Routledge,3.94
9781581807745,Simply Beautiful Beaded Jewelry,Heidi Boyd,North Light Books,3.77
9780800793616,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,Chosen Books,4.46
9780871202864,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,Association for Supervision & Curriculum Development,3.68
9780753454947,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,Kingfisher,3.99
9780871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,ASCD,3.25
9781852402877,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,Sovereign World,4.46
9780761129585,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,Workman Publishing Company,3.89
9780972016414,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,One Hour Entertainment,3.82
9781581805635,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,North Light Books,3.78
9780441294671,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,Ace Books,3.84
9780441102679,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,Ace Books,3.91
9780441172696,Dune Messiah (Dune Chronicles #2),Frank Herbert,Ace Books,3.88
9780765306470,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,Tor Books,4.01
9780399128981,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,Putnam,3.86
9780765353702,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,Tor Science Fiction,3.88
9780441328000,Heretics of Dune (Dune Chronicles #5),Frank Herbert,Ace Books,3.86
9780618212903,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,Houghton Mifflin Harcourt,4.59
9780345410054,The Power of One (The Power of One  #1),Bryce Courtenay,Ballantine Books,4.35
9780385732543,The Power of One (The Power of One  #1),Bryce Courtenay,Delacorte Books for Young Readers,4.35
9780785260059,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,Thomas Nelson,4.28
9780471780939,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,Wiley,3.34
9780325001531,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,Heinemann Drama,3.67
9780060762872,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,William Morrow Paperbacks,3.48
9780470045299,eBay for Dummies,Marsha Collier,Wiley,3.5
9780072262780,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,McGraw-Hill,3.62
9780764569241,Starting an eBay Business for Dummies,Marsha Collier,Wiley,3.55
9780471933823,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,Wiley,4.27
9780764559914,ebay Timesaving Techniques for Dummies,Marsha Collier,Wiley,3.39
9780764584381,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,Wiley,3.89
9780596523695,Ruby Cookbook,Lucas Carlson/Leonard Richardson,O'Reilly Media,3.84
9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,Citadel,4.12
9780806525365,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,Citadel,4.08
9780596527310,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,O'Reilly Media,3.48
9780143035008,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Penguin Classics,4.05
9780451528612,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,Signet,4.05
9780140449174,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,Penguin Books,4.05
9780822001836,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,Cliffs Notes,3.85
9781593080273,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,Barnes & Noble Classics,4.05
9780486437965,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,Dover Publications,4.05
9781593081775,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,Barnes & Noble,4.05
9780778322276,Dinner with Anna Karenina,Gloria Goldreich,Mira Books,2.99
9780521313254,Tolstoy: Anna Karenina,Anthony Thorlby,Cambridge University Press,4.19
9780140183955,Untouchable,Mulk Raj Anand/E.M. Forster,Penguin Books,3.71
9780679767473,The Untouchable,John Banville,Vintage,3.95
9781568491981,The Untouchables,Eliot Ness/Oscar Fraley,Buccaneer Books,3.89
9780743270793,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,Scribner,3.82
9780932863058,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,Clarity Press,4.2
9780742508804,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,Rowman & Littlefield Publishers,3.65
9780205358625,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,Pearson,3.4
9781557344038,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,Teacher Created Resources,4.0
9780380720446,Wrinkles in Time,George Smoot/Keay Davidson,Harper Perennial,4.01
9780821925324,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,EMC/Paradigm Publishing,4.0
9780439271691,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,Teaching Resources,3.6
9780606105262,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,Turtleback Books,4.0
9780751506433,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,Little  Brown Book Group,4.12
9780060786717,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,William Morrow,4.11
9780743499347,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,Atria Books,3.94
9780765313409,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,Tor Books,3.6
9781400032495,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,Vintage Crime/Black Lizard,3.9
9781400032488,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,Vintage Crime/Black Lizard,4.05
9781400032464,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,Vintage Crime/Black Lizard,3.94
9780679732525,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,Vintage,3.89
9780312424442,I am Charlotte Simmons,Tom Wolfe,Picador USA,3.42
9780806930770,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,Sterling,3.91
9780140366600,The Puffin Book of Nonsense Verse,Quentin Blake,Puffin,4.02
9780811201124,Henry Miller on Writing,Henry Miller/Thomas H. Moore,New Directions Publishing,4.22
9780802130167,Quiet Days in Clichy,Henry Miller,Grove Press,3.69
9780802131782,Tropic of Cancer,Henry Miller/Jiří Níl,Grove Press,3.68
9780802151827,Tropic of Capricorn,Henry Miller,Grove Press,3.78
9780802151780,Nexus (The Rosy Crucifixion  #3),Henry Miller,Grove Press,4.1
9780802151803,Sexus (The Rosy Crucifixion  #1),Henry Miller,Grove Press,3.98
9780811201063,The Air-Conditioned Nightmare,Henry Miller,New Directions,3.83
9780141439631,The Portrait of a Lady,Henry James/Patricia Crick,Penguin Classics,3.78
9781593080969,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,Barnes  Noble Classics,3.78
9781571290533,Writing,Marguerite Duras,Brookline Books,3.75
9781565842212,The War,Marguerite Duras/Barbara Bray,The New Press,3.85
9780394743042,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,Pantheon,3.66
9781851681822,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,One World (UK),3.68
9781566562492,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,Interlink Publishing Group,4.21
9780140195538,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,Penguin Books,4.19
9780394431246,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,Knopf,3.98
9780806501901,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,Citadel,3.92
9780679439202,Sand and Foam,Kahlil Gibran/جبران خليل جبران,Knopf,4.08
9780753453803,Treasure Island,Robert Louis Stevenson,Kingfisher,3.83
9781402714573,Treasure Island,Robert Louis Stevenson/Scott McKowen,Sterling Children's Books,3.83
9781416500292,Treasure Island,Robert Louis Stevenson,Simon & Schuster,3.83
9780689854682,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,Atheneum Books for Young Readers,3.83
9780517221143,Treasure Island,Robert Louis Stevenson/Milo Winter,Gramercy Books,3.83
9781577658054,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,Abdo Publishing Company,4.05
9780933121188,100 Years of Lynchings,Ralph Ginzburg,Black Classic Press,4.61
9780785950103,Cien años de soledad,Gabriel García Márquez,French & European,4.07
9780394800844,On Beyond Zebra!,Dr. Seuss,Random House Books for Young Readers,4.04
9780821778258,The Wedding Clause,Debbie Raleigh,Zebra,3.6
9780060733032,The Zebra Wall,Kevin Henkes,Greenwillow Books,3.44
9788432216060,El perfume: Historia de un asesino,Patrick Süskind,Booket,4.02
9780345413994,The Door Into Summer,Robert A. Heinlein,Del Rey,4.01
9780441788385,Stranger in a Strange Land,Robert A. Heinlein,Ace,3.92
9780441748600,To Sail Beyond the Sunset,Robert A. Heinlein,Ace Books,3.87
9780345316509,Job: A Comedy of Justice,Robert A. Heinlein,Del Rey,3.78
9780765314932,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,Tor Books,3.97
9780671742515,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,Pocket Books,4.06
9780345455291,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,Del Rey,3.93
9780345476517,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,Del Rey,4.14
9780345368430,Douglas Adams's Starship Titanic,Terry Jones,Ballantine Books,3.6
9781417622856,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,Turtleback Books,3.93
9780573650963,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,Samuel French  Inc.,4.13
9780691122946,On Bullshit,Harry G. Frankfurt,Princeton University Press,3.57
9780393329407,Another Bullshit Night in Suck City,Nick Flynn,W. W. Norton & Company,3.78
9780671867423,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,Simon & Schuster,4.14
9780395883976,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,HMH Books for Young Readers,4.53
9780684848150,Underworld,Don DeLillo,Scribner,3.92
9780140156041,Libra,Don DeLillo,Penguin,3.99
9780140119480,Americana,Don DeLillo,Penguin Books,3.43
9780679722946,Running Dog,Don DeLillo,Vintage Contemporaries,3.43
9780743244251,Cosmopolis,Don DeLillo,Scribner,3.22
9780140179170,Great Jones Street,Don DeLillo,Penguin Books,3.48
9780679722953,The Names,Don DeLillo,Vintage,3.64
9781594201202,Against the Day,Thomas Pynchon,Penguin Press,4.13
9780060930219,V.,Thomas Pynchon,Harper Perennial Modern Classics,3.96
9780060931674,The Crying of Lot 49,Thomas Pynchon,Harper Perennial,3.69
9780140283389,Gravity's Rainbow,Thomas Pynchon,Penguin Books,4.01
9780312423209,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,Picador USA,4.07
9780141180632,Vineland,Thomas Pynchon,Penguin Classics,3.69
9780143039945,Gravity's Rainbow,Thomas Pynchon,Penguin Books,4.01
9780316724432,Slow Learner: Early Stories,Thomas Pynchon,Back Bay Books,3.5
9780140189308,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,Penguin Classics,3.8
9781400043149,The Year of Magical Thinking,Joan Didion,Knopf Publishing Group,3.89
9780374522216,The White Album,Joan Didion,Farrar Straus Giroux,4.17
9780679754862,A Book of Common Prayer,Joan Didion,Vintage International,3.8
9780679752868,Where I Was From,Joan Didion,Vintage,3.86
9780374521721,Slouching Towards Bethlehem,Joan Didion,Farrar Straus Giroux,4.21
9780679754855,Democracy,Joan Didion,Vintage International,3.81
9780307264879,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,Everyman's Library,4.5
9780374529949,Play It As It Lays,Joan Didion/David Thomson,Farrar  Straus and Giroux,3.87
9780143039839,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,Penguin Classics,3.89
9780140097313,City of Glass (The New York Trilogy  #1),Paul Auster,Penguin Books,3.79
9780140097351,Ghosts (The New York Trilogy  #2),Paul Auster,Penguin Books,3.64
9780940650763,The Locked Room (The New York Trilogy  #3),Paul Auster,Sun and Moon Press,3.89
9780963188922,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,Sky Books (NY),3.89
9780312426231,The Brooklyn Follies,Paul Auster,Picador,3.84
9780140115857,Moon Palace,Paul Auster,Penguin Books,3.94
9780140154078,The Music of Chance,Paul Auster,Penguin Books,3.9
9780805081459,Travels in the Scriptorium,Paul Auster,Henry Holt & Company,3.23
9780140178135,Leviathan,Paul Auster,Penguin Books,3.96
9780811214988,The Red Notebook: True Stories,Paul Auster,New Directions,3.77
9782742741465,Timbuktu / Leviathan / Moon Palace,Paul Auster,Actes Sud,4.38
9780143036555,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,Penguin Books Ltd. (London),3.93
9780446579780,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,Business Plus,3.4
9780521386739,Collapse of Complex Societies,Joseph A. Tainter,Cambridge University Press,4.15
9780743203043,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,Simon  Schuster,3.8
9780345438713,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,Ballantine Books,3.91
9780393318289,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,W. W. Norton  Company,4.39
9781599869940,My Inventions,Nikola Tesla,Filiquarian Publishing  LLC.,4.01
9780806519609,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,Citadel,3.78
9780822549208,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,Lerner Publications,3.93
9780932813862,Tesla Papers,Nikola Tesla/David Hatcher Childress,Adventures Unlimited Press,4.13
9780373792689,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,Harlequin Blaze,3.77
9780974514055,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,Pragmatic Bookshelf,4.03
9780764585975,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,Cliffs Notes,3.95
9780307281708,Lord of the Flies,William Golding,Listening Library (Audio),3.68
9780812969702,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,Random House,4.11
9780060255084,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,HarperCollins Publishers,4.14
9780330485388,The Lovely Bones,Alice Sebold,Picador,3.81
9781594130236,The Lovely Bones,Alice Sebold,Large Print Press,3.81
9780345360359,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,Ballantine Books,3.8
7853423034760,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,Peachpit Press,3.98
9780321430847,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,Peachpit Press,3.8
9783822840856,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,Taschen,3.85
9780743264464,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,Scribner,3.81
9780743236010,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,Scribner,3.73
9780553572490,Vice (V  #8),Jane Feather,Bantam,3.51
9780060589462,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,HarperTorch,3.77
9780802789471,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,Walker & Company,4.08
9780688060695,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,William Morrow Paperbacks,3.72
9781859605158,Motorcycle Basics Techbook,John Harold Haynes,Haynes Manuals N. America  Inc.,3.85
9781592530878,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,Rockport Publishers,3.93
9780451528803,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,Signet Classics,4.11
9780192833983,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,Oxford University Press,4.11
9780486451381,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,Dover Publications,4.13
9780452011878,Atlas Shrugged,Ayn Rand/Leonard Peikoff,Plume,3.69
9780451163080,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,Signet Book,3.68
9780452286757,The Fountainhead,Ayn Rand,Dutton,3.87
9780451163936,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,Signet,3.51
9780452281257,Anthem,Ayn Rand,NAL,3.63
9780451187840,We the Living,Ayn Rand/Leonard Peikoff,Signet,3.91
9780451147950,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,Signet,3.88
9780452274044,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,NAL,3.96
9780471791430,Sailing for Dummies,J.J. Isler/Peter Isler,For Dummies,3.95
9780553803815,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,Delacorte Press,3.88
9780375755194,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,Random House Trade Paperbacks,4.23
9781592283194,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,Lyons Press,3.62
9780975599518,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,Alliance Publishing,3.09
9780374502003,The Natural,Bernard Malamud/Kevin Baker,Farrar Straus Giroux,3.63
9780307263940,Digging to America,Anne Tyler,Alfred A. Knopf,3.55
9780312405540,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,Bedford Books,3.77
9780195170139,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,Oxford University Press  USA,3.59
9781400079490,The Plot Against America,Philip Roth,Vintage International,3.77
9780688171629,Naked Pictures of Famous People,Jon   Stewart,Dey Street Books,3.59
9780060932688,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,Harper Perennial Modern Classics,4.19
9781400034956,Crónica de una muerte anunciada,Gabriel García Márquez,Vintage Espanol,3.97
9780307350428,Cien años de soledad,Gabriel García Márquez,Plaza y Janes,4.07
9780307350442,Del amor y otros demonios,Gabriel García Márquez,Plaza y Janes,3.98
9781400034543,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,Vintage,3.99
9781400095803,Memoria de mis putas tristes,Gabriel García Márquez,Vintage Espanol,3.6
9780375708114,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,Vintage Books USA,4.07
9780861714926,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,Wisdom Publications,4.29
9781843535843,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,Rough Guides,3.75
9781740594776,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,Lonely Planet,3.83
9788408064763,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,Geoplaneta,4.03
9781740592055,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,Lonely Planet,0.0
9780618710539,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,Mariner Books,3.88
9780060512804,Cryptonomicon,Neal Stephenson,Avon,4.25
9782228894166,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,Payot,4.1
9780060733353,The Confusion (The Baroque Cycle  #2),Neal Stephenson,William Morrow Paperbacks,4.26
9780060593087,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,HarperCollins Perennial,3.93
9780553383447,The Cobweb,Neal Stephenson/J. Frederick George,Spectra Books,3.61
9780380816033,The Big U,Neal Stephenson,William Morrow Paperbacks,3.25
9780553380965,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,Spectra,4.19
9780553383430,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,Spectra,3.68
9780060833183,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,HarperTorch,4.2
9780553380958,Snow Crash,Neal Stephenson/Guy Abadia,Bantam Books,4.03
9781880685358,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,Two Plus Two Publishing LLC,4.16
9781880685334,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,Two Plus Two Publishing LLC,4.24
9780465067107,The Design of Everyday Things,Donald A. Norman,Basic Books,4.17
